stock_id,ticker,company_name,sector,industry,country,market_cap,p_e,price,change,volume,upcoming_earnings,etf,is_options_exists,round_lot_size,create_date,update_date
2f678860-3ee0-4b26-831a-1107f55fb9d8,OKTA,Okta Inc,Technology,Software - Infrastructure,USA,404,-,88.86,-0.65%,404,8/13/2024,FALSE,FALSE,100,,
23a2859b-f573-4c47-aa6d-40b2d1970b14,OLLI,Ollies Bargain Outlet Holdings Inc,Consumer Defensive,Discount Stores,USA,404,30.63,77.82,1.57%,404,8/14/2024,FALSE,FALSE,100,,
aec6885d-20cf-4d05-9fcb-034e0672e0cd,OPCH,Option Care Health Inc.,Healthcare,Medical Care Facilities,USA,404,23.94,33.93,1.31%,404,8/15/2024,FALSE,FALSE,100,,
28407a50-7e26-4b33-8524-6b0d9fd07c7b,ORCL,Oracle Corp.,Technology,Software - Infrastructure,USA,404,30.78,111.31,-1.30%,404,8/16/2024,FALSE,FALSE,100,,
8c8fd5c1-5bb4-4df8-bd9a-d982865de2e3,OTIS,Otis Worldwide Corp,Industrials,Specialty Industrial Machinery,USA,404,26.91,91.24,-1.06%,404,8/17/2024,FALSE,FALSE,100,,
6d0a6c3f-d978-4b56-a3db-13d02f7f1f7d,OZK,Bank OZK,Financial,Banks - Regional,USA,404,7.26,42.65,-1.48%,404,8/18/2024,FALSE,FALSE,100,,
891f7c84-1a57-48ec-b55f-ec1e12a07638,PANW,Palo Alto Networks Inc,Technology,Software - Infrastructure,USA,404,207.7,366.41,-0.13%,404,8/19/2024,FALSE,FALSE,100,,
d2a0425f-ecdf-4a0d-abe9-174b789dd98e,PATH,UiPath Inc,Technology,Software - Infrastructure,USA,404,-,24.96,-2.77%,404,8/20/2024,FALSE,FALSE,100,,
77d3b50b-bc71-42da-aa22-2d6b6c8d314f,PAYX,Paychex Inc.,Industrials,Staffing & Employment Services,USA,404,27.43,123.38,0.48%,404,8/21/2024,FALSE,FALSE,100,,
2d43e127-8bb2-4533-89e9-3e589e9c47db,PCAR,Paccar Inc.,Industrials,Farm & Heavy Construction Machinery,USA,404,12.3,107.77,-0.27%,404,8/22/2024,FALSE,FALSE,100,,
4a9037e2-7a21-4a46-af02-bb1af635f3de,PCOR,Procore Technologies Inc,Technology,Software - Application,USA,404,-,75.92,1.78%,404,8/23/2024,FALSE,FALSE,100,,
01b86d7c-f9a0-41cb-a4aa-62382f6a0a18,PD,Pagerduty Inc,Technology,Software - Application,USA,404,-,23.86,-2.57%,404,8/24/2024,FALSE,FALSE,100,,
1c3d0489-ccf7-4950-9372-320a2a94d7da,PGR,Progressive Corp.,Financial,Insurance - Property & Casualty,USA,404,28.72,189.09,-0.08%,404,8/25/2024,FALSE,FALSE,100,,
0deacdf5-1873-4a0b-b84f-86b3b9b6636e,PINS,Pinterest Inc,Communication Services,Internet Content & Information,USA,404,-,35.28,-3.55%,404,8/26/2024,FALSE,FALSE,100,,
4d7d9a27-0385-4417-b7c3-f47d706c5107,PLD,Prologis Inc,Real Estate,REIT - Industrial,USA,404,42,133.39,0.22%,404,8/27/2024,FALSE,FALSE,100,,
47af2ed1-8702-4e3e-8189-b65bfb0dbca7,PLNT,Planet Fitness Inc,Consumer Cyclical,Leisure,USA,404,41.15,66.47,-1.72%,404,8/28/2024,FALSE,FALSE,100,,
3241e9fc-cd02-4c92-bbb3-372b258eab48,PLTR,Palantir Technologies Inc,Technology,Software - Infrastructure,USA,404,270.65,24.44,-3.82%,404,8/29/2024,FALSE,FALSE,100,,
